城市,毕业时间,学历,本科,职位,月薪,月份
广东,2018,本科,1级,后端,12,7000
广东,2019,本科以下,3级,前端,53000,18
上海,2019,硕士,3级,后端,27,14
广东,2018,本科,3级,算法,24,15
上海,2019,硕士,2级,大数据,15,13
北京,2017,本科,2级,后端,14,14
北京,2017,本科,3级,后端,3500,13
陕西,2016,本科以下,1级,后端,1800,12
北京,2018,本科,3级,后端,18,14
北京,2018,硕士,3级,算法,18,14
四川,2018,本科,1级,后端,8,12
黑龙江,2019,本科,1级,后端,3000,12
广东,2019,本科,1级,后端,6,12
广东,2017,本科,1级,游戏（客户端开发）,13,5000
甘肃,2019,博士,2级,系统开发,20000000,300000000000
广东,2018,本科,1级,后端,9,13
江西,2019,本科以下,1级,运维,3000,12
江西,2016,本科以下,1级,后端,99999,999999
河北,2016,硕士,1级,前端,2222,2222
北京,2017,本科,2级,AI,40,14
北京,2017,本科,1级,后端,11,12
上海,2019,硕士,3级,硬件,16,12
广东,2016,本科,2级,前端,12,14
广东,2018,本科,3级,软件开发/基础架构开发,3000,13
广东,2019,本科以下,1级,后端,3000,12
北京,2016,本科以下,3级,后端,50000,52
浙江,2019,本科,3级,其他,200000,18
上海,2019,硕士,2级,后端,22,15
